"","LME","LME_name","Year","TCB_mean","TCB_median","TCB_sd"
"149",14,"Patagonian Shelf",1968,25.860280334088,27.7967092224315,11.973309264521
"150",14,"Patagonian Shelf",1969,26.0652321244969,27.1692557200552,12.200984667336
"151",14,"Patagonian Shelf",1970,25.6372867284578,27.0265521318149,12.3627837297278
"152",14,"Patagonian Shelf",1971,25.8863280746021,27.4851487048223,12.2081832598923
"153",14,"Patagonian Shelf",1972,25.8847313359325,27.3477413291841,12.2875891735449
"154",14,"Patagonian Shelf",1973,26.0351091314799,27.1852586482501,12.2465515541424
"155",14,"Patagonian Shelf",1974,26.0055948473414,27.3728905356386,12.2592393526447
"156",14,"Patagonian Shelf",1975,25.9408097754383,27.2294365561519,12.1809461455058
"157",14,"Patagonian Shelf",1976,25.6325077632736,26.7307493869461,12.043252368948
"158",14,"Patagonian Shelf",1977,25.7894662471214,27.6929778223706,11.9091633849321
"159",14,"Patagonian Shelf",1978,25.7959021617429,27.7236439878449,12.2079736224157
"160",14,"Patagonian Shelf",1979,26.1542335461742,27.071222409464,12.2719518039677
"161",14,"Patagonian Shelf",1980,25.7894759221334,26.8058773974367,12.1524685578874
"162",14,"Patagonian Shelf",1981,25.6677484966868,26.6094543782913,12.0408891352485
"163",14,"Patagonian Shelf",1982,25.7296608408543,27.0190200479323,11.8010413615326
"164",14,"Patagonian Shelf",1983,25.2786508741087,26.5035699859951,12.0029467513702
"165",14,"Patagonian Shelf",1984,25.5784906795602,26.7799603539321,12.0106145234185
"166",14,"Patagonian Shelf",1985,25.9268341758201,27.0651463265785,12.2282867017038
"167",14,"Patagonian Shelf",1986,25.8081427138932,27.6097836406484,12.161635204463
"168",14,"Patagonian Shelf",1987,25.5275485124674,27.437841211633,11.7451784073601
"169",14,"Patagonian Shelf",1988,25.4127940045454,27.0302550915108,11.7091794680003
"170",14,"Patagonian Shelf",1989,25.7004891216617,26.8640786962693,11.8650955404699
"171",14,"Patagonian Shelf",1990,25.4338118315157,27.1571891027065,11.7073184079252
"172",14,"Patagonian Shelf",1991,25.2707322001005,27.032318131879,11.7822427274268
"173",14,"Patagonian Shelf",1992,24.9842115899365,26.6836846923163,11.6240723503783
"174",14,"Patagonian Shelf",1993,25.2721950097117,26.4061088131296,11.8884900655307
"175",14,"Patagonian Shelf",1994,25.327196831629,26.4915928897182,11.8558755070043
"176",14,"Patagonian Shelf",1995,25.6447784814586,27.018648476842,12.0161626722174
"177",14,"Patagonian Shelf",1996,25.3966074147697,26.8613718019823,11.7885844622055
"178",14,"Patagonian Shelf",1997,25.4767128395606,26.9212683377439,12.1366348232832
"179",14,"Patagonian Shelf",1998,25.5325318353715,26.9695808156777,11.9811011197255
"180",14,"Patagonian Shelf",1999,25.4768202459838,26.826568311627,11.8875258048046
"181",14,"Patagonian Shelf",2000,25.5508675617699,26.8917332327062,11.7808021288899
"182",14,"Patagonian Shelf",2001,25.7770857109793,27.0269830027446,11.8909792963362
"183",14,"Patagonian Shelf",2002,25.7753844970852,26.450072733044,11.8420378757224
"184",14,"Patagonian Shelf",2003,25.2448449282801,26.6771757219274,11.5784105705732
"185",14,"Patagonian Shelf",2004,25.3091748666616,26.0761181189911,11.5326457651914
"186",14,"Patagonian Shelf",2005,25.0417338672599,26.5367484260786,11.4759935547518
"187",14,"Patagonian Shelf",2006,25.3499720078455,26.476280072912,11.6487491066096
"188",14,"Patagonian Shelf",2007,25.0335072562206,26.2742410905539,11.7457963377087
"189",14,"Patagonian Shelf",2008,25.2259593223001,26.3136427322405,11.7731199202965
"190",14,"Patagonian Shelf",2009,25.4371402774006,26.2211129244122,11.7474878064176
"191",14,"Patagonian Shelf",2010,25.2215913556975,25.853306680138,11.708243543882
"192",14,"Patagonian Shelf",2011,25.4987516723964,26.42653879294,11.8102012758947
"193",14,"Patagonian Shelf",2012,25.5337759279479,26.9559256807842,11.9411959493281
"194",14,"Patagonian Shelf",2013,25.6917906047271,27.0078457960084,12.0615033109381
"195",14,"Patagonian Shelf",2014,25.4943996943429,26.5250170847642,12.120181105583
"196",21,"Norwegian Sea",1950,2.84266114376293,1.98823599451807,2.5741684729803
"197",21,"Norwegian Sea",1951,2.83415182585582,2.01805363240122,2.4415685119993
"198",21,"Norwegian Sea",1952,2.84943606223995,2.02214056371339,2.39437920131167
"199",21,"Norwegian Sea",1953,2.84851220928298,2.07272270369228,2.33825262602905
"200",21,"Norwegian Sea",1954,2.8234497182153,2.08455544745831,2.25444179845194
"201",21,"Norwegian Sea",1955,2.86201676471157,2.0758462137813,2.40518315846545
"202",21,"Norwegian Sea",1956,2.84107210556169,2.07072909115909,2.51052252038065
"203",21,"Norwegian Sea",1957,2.77035438153495,2.01610679933108,2.36024343383963
"204",21,"Norwegian Sea",1958,2.79174787864035,2.01296635200161,2.37697910609256
"205",21,"Norwegian Sea",1959,2.88033802183767,2.11218317184173,2.4645836269019
"206",21,"Norwegian Sea",1960,2.84640413395917,2.10187197389283,2.36223057066592
"207",21,"Norwegian Sea",1961,2.84611567548299,2.0794585028495,2.30105938606851
"208",21,"Norwegian Sea",1962,2.86751948249038,2.01820205875316,2.40676123060079
"209",21,"Norwegian Sea",1963,2.83462600366056,1.98893210784741,2.35086563673739
"210",21,"Norwegian Sea",1964,2.84270654768299,2.05799219902386,2.28282210338061
"211",21,"Norwegian Sea",1965,2.93930293866617,2.10148512519499,2.41293009614852
"212",21,"Norwegian Sea",1966,2.92969955527439,2.13444546784698,2.36533597210549
"213",21,"Norwegian Sea",1967,2.951025071054,2.14912670513197,2.34774103290952
"214",21,"Norwegian Sea",1968,2.99111734766123,2.20428535898516,2.26541939564069
"215",21,"Norwegian Sea",1969,2.96426306204047,2.22376692432655,2.21383969303391
"216",21,"Norwegian Sea",1970,3.02239623872776,2.24236054499898,2.24377766186286
"217",21,"Norwegian Sea",1971,3.06257179885819,2.2392300271697,2.29250471177223
"218",21,"Norwegian Sea",1972,2.99067690291038,2.19540587133847,2.21815597737147
"219",21,"Norwegian Sea",1973,2.98212825161235,2.18076925736144,2.29493763403838
"220",21,"Norwegian Sea",1974,3.01698889093167,2.20557270570784,2.28107474984031
"221",21,"Norwegian Sea",1975,3.05886950093446,2.22235933698327,2.36895488232433
"222",21,"Norwegian Sea",1976,3.10314981617998,2.19507757709663,2.41227916071056
"223",21,"Norwegian Sea",1977,3.08885518142631,2.18774371935833,2.40777280561589
"224",21,"Norwegian Sea",1978,3.04446405203496,2.12501159919258,2.4366680504618
"225",21,"Norwegian Sea",1979,3.02497819576491,2.13050396919793,2.42724111235535
"226",21,"Norwegian Sea",1980,3.065854841066,2.13973464476219,2.39786504736224
"227",21,"Norwegian Sea",1981,3.11771838170489,2.24065323226139,2.37548784115759
"228",21,"Norwegian Sea",1982,3.21707361515841,2.3630938540011,2.44623974236724
"229",21,"Norwegian Sea",1983,3.27326193082952,2.47313581187137,2.451416613067
"230",21,"Norwegian Sea",1984,3.18979447133336,2.36730676002977,2.39003207368049
"231",21,"Norwegian Sea",1985,3.08359818088169,2.24251232745572,2.35243401249349
"232",21,"Norwegian Sea",1986,3.02956147113469,2.18109807909437,2.29800456102386
"233",21,"Norwegian Sea",1987,3.05230410460834,2.16481297107486,2.33756605602036
"234",21,"Norwegian Sea",1988,3.06031793645521,2.19202124141432,2.35123082904308
"235",21,"Norwegian Sea",1989,3.05195968798508,2.1988270705932,2.3352053630479
"236",21,"Norwegian Sea",1990,3.02794109403524,2.19012064351345,2.3879778223361
"237",21,"Norwegian Sea",1991,3.0164412908386,2.18514949353181,2.45001927621586
"238",21,"Norwegian Sea",1992,3.00870144543348,2.14832165365267,2.48721648136242
"239",21,"Norwegian Sea",1993,3.06392892621693,2.16266086528782,2.54801989698469
"240",21,"Norwegian Sea",1994,3.03171062539458,2.11266766327682,2.53838560385255
"241",21,"Norwegian Sea",1995,2.95850396011146,2.08309623759279,2.47051002863163
"242",21,"Norwegian Sea",1996,2.95176621702899,2.10401182810727,2.47498067863432
"243",21,"Norwegian Sea",1997,2.96051758586925,2.14038541651159,2.44470506561683
"244",21,"Norwegian Sea",1998,2.93160136466411,2.1013729547621,2.40266914215383
"245",21,"Norwegian Sea",1999,2.9087528278997,2.10132800783794,2.36042762015511
"246",21,"Norwegian Sea",2000,2.84197862281519,2.07704432170967,2.2602092762233
"247",21,"Norwegian Sea",2001,2.80641411909531,2.10622519028967,2.12036342837214
"248",21,"Norwegian Sea",2002,2.81507651223536,2.10509554358048,2.12841400793611
"249",21,"Norwegian Sea",2003,2.87412319883436,2.05561055058313,2.31135295026886
"250",21,"Norwegian Sea",2004,2.90002322929809,2.00971048605003,2.35124026814717
"251",21,"Norwegian Sea",2005,2.87155743993247,2.02619113788317,2.33843567145514
"252",21,"Norwegian Sea",2006,2.83362032300797,2.00746277785668,2.30675318098973
"253",21,"Norwegian Sea",2007,2.83449318007896,2.04614702942905,2.32595375871739
"254",21,"Norwegian Sea",2008,2.83078857573615,2.05530045810874,2.31194150206362
"255",21,"Norwegian Sea",2009,2.84408796258592,2.02999548306345,2.35538647792999
"256",21,"Norwegian Sea",2010,2.86687882859603,2.0125584908503,2.40361937996816
"257",21,"Norwegian Sea",2011,2.86430044505832,1.99869749644411,2.30904996964776
"258",21,"Norwegian Sea",2012,2.84530979344567,2.02536515490412,2.23240407074064
"259",21,"Norwegian Sea",2013,2.87233450049135,2.02777844960201,2.3096402780565
"260",21,"Norwegian Sea",2014,2.93728442689732,2.04299666555683,2.40427505291727
